Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins
Kenya,CAF,104,0.75,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,CAF,108,0.77,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,CAF,112,0.69,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,CAF,113,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,CAF,115,0.65,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,CAF,116,0.7,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,CAF,117,0.75,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,CAF,119,0.7,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,CAF,120,0.63,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,CAF,121,0.72,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,CAF,122,0.7,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,CAF,123,0.55,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,CAF,126,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,CAF,128,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,CAF,130,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,131,0.7,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,CAF,132,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,CAF,136,0.62,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,CAF,139,0.57,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,CAF,140,0.52,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,CAF,143,0.47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,CAF,145,0.53,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,CAF,148,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,CAF,149,0.64,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,CAF,161,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,CAF,179,0.45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,CAF,181,0.42,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,CAF,183,0.33,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,CAF,194,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
