Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num
Mali,CAF,52,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mali,MLI,466
Ivory Coast,CAF,53,1.2,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,Côte d'Ivoire,CIV,384
Burkina Faso,CAF,56,1.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,Burkina Faso,BFA,854
Ghana,CAF,60,1.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,Ghana,GHA,288
Congo DR,CAF,67,0.95,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,Congo (the),COD,180
South Africa,CAF,69,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Africa,ZAF,710
Cabo Verde,CAF,71,0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Cabo Verde,CPV,132
Guinea,CAF,80,0.85,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Guinea,GIN,324
Gabon,CAF,81,0.85,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Gabon,GAB,266
Benin,CAF,84,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Benin,BEN,204
Uganda,CAF,86,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Uganda,UGA,800
Zambia,CAF,87,0.75,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,Zambia,ZMB,894
Congo,CAF,98,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Congo (the Democratic Republic of the),COG,178
Equatorial Guinea,CAF,99,0.57,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Equatorial Guinea,GNQ,226
Madagascar,CAF,102,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Madagascar,MDG,450
Kenya,CAF,104,0.75,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,Kazakhstan,KAZ,398
Sierra Leone,CAF,108,0.77,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,Sierra Leone,SLE,694
Namibia,CAF,112,0.69,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,Namibia,NAM,516
Mauritania,CAF,113,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauritania,MRT,478
Guinea-Bissau,CAF,115,0.65,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Guinea-Bissau,GNB,624
Niger,CAF,116,0.7,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Niger (the),NER,562
Libya,CAF,117,0.75,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,Libya,LBY,434
Mozambique,CAF,119,0.7,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,Mozambique,MOZ,508
Malawi,CAF,120,0.63,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,Malawi,MWI,454
Togo,CAF,121,0.72,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,Togo,TGO,768
Zimbabwe,CAF,122,0.7,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,ZWE,716
Gambia,CAF,123,0.55,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,Gambia (the),GMB,270
Angola,CAF,126,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Angola,AGO,24
Comoros,CAF,128,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Comoros (the),COM,174
Tanzania,CAF,130,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tanzania, the United Republic of",TZA,834
