,Name,Country,Position,ShirtNumber,Attack,Passing,P,Goals,Assists,Confederation,WC_P,WC_Goals,WC_Assists,GPG,APG,WC_GPG,WC_APG
379,Sos Suhana,Cambodia,MID,#6,4,4,2020,102,82,AFC,0,0,0,0.0504950495049505,0.040594059405940595,,
380,Thierry Chantha Bin,Cambodia,MID,#7,4,4,2020,125,74,AFC,0,0,0,0.06188118811881188,0.03663366336633663,,
381,Kouch Sokumpheak,Cambodia,MID,#8,6,10,2020,175,197,AFC,0,0,0,0.08663366336633663,0.09752475247524753,,
382,Yeu Muslim,Cambodia,MID,#9,6,10,2020,183,197,AFC,0,0,0,0.09059405940594059,0.09752475247524753,,
383,Prak Mony Udom,Cambodia,ATK,#10,10,8,2020,282,145,AFC,0,0,0,0.13960396039603962,0.07178217821782178,,
384,Keo Sokpheng,Cambodia,ATK,#11,10,8,2020,307,117,AFC,0,0,0,0.15198019801980198,0.057920792079207924,,
385,Nadeo Argawinata,Indonesia,GK,#1,0,0,2063,0,0,AFC,3,0,0,0.0,0.0,0.0,0.0
386,Bagas Adi,Indonesia,DEF,#2,1,2,2063,32,37,AFC,3,0,0,0.015511391177896268,0.01793504604944256,0.0,0.0
387,Johan Alfarizi,Indonesia,DEF,#3,1,2,2063,28,43,AFC,3,0,0,0.013572467280659235,0.02084343189529811,0.0,0.0
388,Asnawi Mangkualam,Indonesia,DEF,#4,2,5,2063,76,100,AFC,3,0,0,0.036839554047503636,0.048473097430925836,0.0,0.0
