,Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num,GFPG,GAPG,CS%,WC_GFPG,WC_GAPG
23,Turkmenistan,AFC,134,0.48,0.48,900.0,882.0,1152.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Turkmenistan,TKM,795.0,0.98,1.28,0.3322222222222222,,
24,Kuwait,AFC,146,0.5,0.5,880.0,871.0,1123.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuwait,KWT,414.0,0.9897727272727272,1.2761363636363636,0.3352272727272727,,
25,Hong Kong,AFC,147,0.4,0.4,850.0,694.0,1355.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hong Kong,HKG,344.0,0.8164705882352942,1.5941176470588236,0.23294117647058823,,
26,Afghanistan,AFC,150,0.5,0.5,910.0,819.0,1202.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,AFG,4.0,0.9,1.3208791208791208,0.30439560439560437,,
27,Yemen,AFC,151,0.6,0.55,984.0,1064.0,1176.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yemen,YEM,887.0,1.08130081300813,1.1951219512195121,0.32621951219512196,,
28,Myanmar,AFC,152,0.48,0.5,830.0,745.0,1051.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Myanmar,MMR,104.0,0.8975903614457831,1.2662650602409637,0.3132530120481928,,
29,Malaysia,AFC,154,0.55,0.5,870.0,924.0,1132.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malaysia,MYS,458.0,1.0620689655172413,1.3011494252873563,0.3080459770114943,,
30,Maldives,AFC,156,0.4,0.35,820.0,631.0,1525.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maldives,MDV,462.0,0.7695121951219512,1.8597560975609757,0.20365853658536584,,
31,Taipei,AFC,157,0.45,0.4,820.0,655.0,1258.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taiwan (Province of China),TWN,158.0,0.7987804878048781,1.5341463414634147,0.2621951219512195,,
32,Singapore,AFC,158,0.4,0.4,800.0,606.0,1272.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singapore,SGP,702.0,0.7575,1.59,0.25,,
33,Indonesia,AFC,159,0.45,0.5,810.0,640.0,1093.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,IDN,360.0,0.7901234567901234,1.3493827160493828,0.27037037037037037,,
34,Nepal,AFC,168,0.4,0.42,800.0,539.0,1246.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nepal,NPL,524.0,0.67375,1.5575,0.23625,,
35,Cambodia,AFC,171,0.39,0.4,800.0,496.0,1292.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cambodia,KHM,116.0,0.62,1.615,0.22625,,
36,Macau,AFC,182,0.32,0.32,655.0,492.0,1049.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Macao,MAC,446.0,0.751145038167939,1.6015267175572518,0.24885496183206107,,
37,Laos,AFC,185,0.3,0.3,591.0,392.0,1017.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lao People's Democratic Republic (the),LAO,418.0,0.6632825719120136,1.7208121827411167,0.23688663282571912,,
38,Mongolia,AFC,186,0.3,0.27,577.0,370.0,1122.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mongolia,MNG,496.0,0.6412478336221837,1.9445407279029463,0.21317157712305027,,
39,Bhutan,AFC,187,0.3,0.3,657.0,428.0,1163.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhutan,BTN,64.0,0.6514459665144596,1.7701674277016743,0.2207001522070015,,
40,Bangladesh,AFC,188,0.3,0.35,719.0,490.0,1076.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,BGD,50.0,0.6815020862308763,1.4965229485396383,0.29624478442280944,,
